,questions,answers
0,What exactly will I own after I purchase CashBet Coin? How can I use it?,"You will own CashBet Coin. CashBet Coin may be used in the following ways: White label platform partners will be encouraged, in the form rate reductions, to use CBC to pay licensing and maintenance fees to CashBet. CBC  may be used by other iGaming operators (social or real-money) as a deposit, payment, and withdrawal mechanism. In this way, CBC has a similar (but enhanced) utility to any other payment mechanism. Content distribution partners will likewise be incentivized (in the form of lower rates) to use CBC to pay licensing fees to CashBet.  Casinos incorporating games from CryptoRGS will be required to offer deposit and wagering in CBC. CBC tokens may be granted to players as a reward for referring friends. Players who hold a certain number of eligible CBC tokens will be offered CBC VIP status in exchange for executing a time-locked contract, sequestering the tokens in the players’ wallet so that they may neither be spent nor otherwise traded. This VIP management feature will be licensed to other operators who may accept CBC for purchase or deposit, allowing them to manage their own CBC-based VIP programs. Please note: the use and of CashBet Coin on the CashBet platform is subject to the separate terms and conditions, and may vary depending on a person’s place of residence, where they access the platform and/or other factors. A number of jurisdictions do not allow, or restrict, real money gambling / wagering – see our Terms at https://coin.cashbet.com/terms for a full list of our current restricted jurisdictions. CashBet prevents players from accessing its platforms in these restricted jurisdictions by verifying player geolocation, blocking internet protocol (IP) addresses from restricted jurisdictions, and undertaking due diligence (which includes place of residence). Residents and persons in these countries may not gamble on the platform – they may only use CBC to participate in non-gambling activities."
1,What does the legal structure of the token ownership look like?,"CashBet is issuing CashBet Coin as a utility token and not as a security. By purchasing CashBet Coin, you acknowledge that CashBet Coin confers only the right to access and use the CashBet platform. CashBet Coin ownership does not confer any equity, interest, or related right of any form with respect to CashBet or its affiliates or any related securities. Explicitly excluded are voting rights or rights to dividends or other distributions."
2,What are the main factors that can positively or negatively affect the value of CashBet Coin in the future?,"CashBet is issuing CashBet Coin tokens as a cryptocurrency to power its B2C and B2B crypto casino offerings. CashBet Coin gaming and ownership will be uniquely useful and rewarding. CashBet will manage its currency with safeguards that deliver concrete advantages to CashBet Coin partners, owners, and players."
3,How much will I earn from buying CashBet Coin?,CashBet Coin is not designed to offer earnings. CashBet Coin provides concrete value and advantages to owners as well as CashBet casino partners and players.
4,How is blockchain used in this solution?,"Mobile gaming and cryptocurrency are two of the fastest growing, demand-driven markets in the world today. CashBet is merging these technologies into an iGaming solution and issuing CashBet Coin to solve the problems facing crypto casino operators and players today: speed, trust, cost, and content. CashBet Coins are not designed to offer earnings—we aim to provide concrete value and advantages to CashBet casino partners, players, and owners. For more details regarding our use of blockchain technology, we encourage you to read our whitepaper at https://coin.cashbet.com/whitepaper."
5,What is your proof type?,CashBet Coin is pre-mined on the Ethereum platform. Note that the Ethereum platform is moving from a proof-of-work to a proof-of-stake model.
6,Can I view the smart contract? Do you have a GitHub?,https://github.com/mgt-corp/cashbetcoin/
7,What are the key dates of the token sale? When does it start and end?,"The pre-sale started on January 24, 2018 at 5:00 P.M. GMT and ended on February 20 at 5:00 P.M. GMT. Due to popular demand, we’ve decided to conduct a second pre-sale from March 27, 2018 at 5:00 P.M. GMT to April 3, 2018 at 5:00 P.M. GMT. The public sale is expected to begin April 10, 2018 at 5:00 P.M. GMT and continue through April 27, 2018 at 5:00 P.M. GMT. The ICO will end early if the hard cap is reached."
8,What is the total supply?,"The total supply of CashBet Coin tokens is 430,000,000."
9,What is the distribution plan for your tokens?,"33.25% (142,975,000 tokens) will be offered to purchasers; 35% will be put into cold storage to bank the casino; 16.75% will be used for team retention, locked up (vested monthly via smart contract) for 2 years; 8% will be used for referrals; and 7% will go to advisors."
10,What is the soft cap?,We are enforcing a soft cap equivalent to $5 million USD. The soft cap was met during the first pre-sale.
11,What is the hard cap?,"Our hard cap is the 142,975,000 tokens being offered to token purchases. Once these tokens are sold out, no additional tokens will be offered."
12,What is your fundraising goal?,"Our goal is to sell out and raise between $30M – $40M, depending on how the offered discounts get applied."
13,How many tokens will be distributed during the pre-sale?,"The total number of tokens available in the token sale is 142,975,000. This entire amount will be made available during the pre-sale, so it is possible that we could sell out during the pre-sale."
14,What is the minimum entry limit? The maximum limit?,"During the first pre-sale, the minimum purchase was the equivalent of $25,000 USD. During the second pre-sale, the minimum purchase is the equivalent of $10,000 USD. During the public sale, the minimum purchase is the equivalent of $100 USD. There is no cap on purchases."
15,Where can I see the progress of your ICO?,You can view our progress by logging into your account at https://ico.cashbet.com and checking the Dashboard.
16,Do you have bounty program? What is the bounty subject?,"Yes, we provided a bounty program that rewarded you for being a part of our community and performing specific tasks. Read about our program here: https://bitcointalk.org/index.php?topic=3283716.0"
17,In what currency will you keep the funds you collect? And where exactly?,All funds are kept in ETH. CashBet manages its cryptocurrency reserves with the following wallets: – A hot wallet that contains the appropriate amount of reserves to cover necessary bets. This is single signature that is controlled by the system. – A warm wallet that is accessible by the system to cover unexpected losses. – A daily “sweep” (depletion from the warm wallet) into cold storage backed by a hardware wallet with multi-sig.
18,Are any countries banned from participating in the ICO?,"China, Cuba, Iran, North Korea, Syria, Crimea region and the State of New York are restricted from participating in the token sale."
19,How do I buy your tokens? What is the payment processing time? What are the fees?,"You can purchase CashBet Coin at https://ico.cashbet.com. ETH, ETC, BTC, BTH, LTC, and USD (via bank wire transfer only) are accepted forms of payment. The funds are credited to your personal account in the system. We do not charge any fees on payments. However, third party payment processors may charge fees. When paying in USD, the wire transfer fee and speed depend on your bank. All fees charged by financial institutions in connection with wire transfers are paid by the prospective CBC token holder. When paying in a cryptocurrency, transaction fees are charged by the relevant blockchain infrastructure. You set the transaction fee amount; that fee and network availability determine the transaction speed."
20,What currencies are accepted for token purchases?,"You can pay in ETH, ETC, BTC, BTH, LTC, and USD. USD will be only be accepted via bank wire transfer."
21,"I want to transfer funds into my account but the ETH, ETC, BTC, BTH, and LTC fluctuate.  Should I transfer a little more crypto so I am sure I have enough?","Yes, it is a good idea to transfer enough crypto in for your purchase. You do not want to wait for the transfer then not have enough to purchase the amount you want. Can I fund my account with different cryptocurrencies?"
22,Can I fund my account with multiple wallets? Why do you ask for a ERC-20 Wallet Address?,"Yes, you can transfer funds into your account from from multiple wallets. The only reason we ask for the ERC-20 wallet is to have a place to send CashBet Coin when the ICO concludes."
23,"I deposited money in the ico.cashbet.com site but it is less that the $25,000 USD minimum.  Will my funds be safe and can I use them in the public sale?","Yes, your funds will be held for you in your account. When the public sale starts you will have money all ready for your purchase of CashBet Coin. Please subscribe with your email on https://coin.cashbet.com so we can inform you of the ICO stages."
